agent,aliases,target_gene,modality,modality_detail,sponsor,development_stage,highest_phase,fda_approved,approval_year,approved_indication,brand_name,indications,num_trials,key_trials,key_pmids,notes
enoblituzumab,MGA271,CD276,mAb,,MacroGenics,clinical_active,phase_2,no,,,,B7-H3+ solid tumors (clinical),5,"NCT06014255|Phase 2|RECRUITING|Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins; NCT02923180|Phase 2|ACTIVE_NOT_RECRUITING|Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins; NCT04630769|Phase 1|COMPLETED|Masonic Cancer Center, University of Minnesota; NCT02982941|Phase 1|COMPLETED|MacroGenics; NCT02381314|Phase 1|COMPLETED|MacroGenics",41684277; 40794737; 40370902; 39152118; 38327753; 37012549; 36555714; 35414591,
vobramitamab duocarmazine,MGC018; vobra duo,CD276,ADC,,MacroGenics,clinical_completed_unapproved,phase_2,no,,,,mCRPC; B7-H3+ solid tumors,2,NCT05293496|Phase 1|COMPLETED|MacroGenics; NCT03729596|Phase 1/Phase 2|TERMINATED|MacroGenics,,
ifinatamab deruxtecan,I-DXd; DS-7300; MGC018,CD276,ADC,,Daiichi Sankyo / MacroGenics,clinical_active,phase_3,no,,,,SCLC; B7-H3+ solid tumors,5,NCT07227597|Phase 1/Phase 2|RECRUITING|Merck Sharp & Dohme LLC; NCT06780137|Phase 1/Phase 2|RECRUITING|Merck Sharp & Dohme LLC; NCT06644781|Phase 3|RECRUITING|Daiichi Sankyo; NCT06362252|Phase 1/Phase 2|RECRUITING|Daiichi Sankyo; NCT06330064|Phase 2|RECRUITING|Daiichi Sankyo,41055143; 40260055,
BI 836826,lutetium-CD37,CD37,mAb,,Boehringer Ingelheim,preclinical_published,phase_1,no,,,,CLL,0,,42123690; 42035126; 42013843; 41754790,Anti-CD37 mAb; Phase 1 NCT02538614 terminated; emblematic of CD37 mAb development.
CAR-37 T cells,,CD37,CAR_T,,Massachusetts General Hospital,clinical_completed_unapproved,phase_1,no,,,,Relapsed/refractory B-NHL; T-cell lymphoma,1,"NCT04136275|Phase 1|COMPLETED|Marcela V. Maus, M.D.,Ph.D.",42123690; 42035126; 42013843; 41754790,Academic CD37-targeted autologous CAR-T (MGH Maus lab); Phase 1 NCT04136275 completed.
GEN3009,,CD37,TCE,,Genmab,clinical_completed_unapproved,phase_1,no,,,,B-NHL,1,NCT04358458|Phase 1/Phase 2|TERMINATED|Genmab,42123690; 42035126; 42013843; 41754790,DuoHexaBody CD37 mAb; Phase 1/2 NCT04358458 terminated; CD37 immuno-bispecific exploration.
177Lu-lilotomab satetraxetan,Betalutin,CD37,RLT,177-Lu-labeled anti-CD37 mAb,Nordic Nanovector / NorthStar Medical,clinical_completed_unapproved,phase_2,no,,,,Follicular lymphoma,0,,42123690; 42035126; 42013843; 41754790,PARADIGME Phase 2 in r/r FL terminated 2022 for slow enrollment; first CD37 radioconjugate.
naratuximab emtansine,IMGN529; Debio 1562,CD37,ADC,,Debiopharm / ImmunoGen,clinical_completed_unapproved,phase_2,no,,,,DLBCL; follicular lymphoma,0,,39374583; 38014209; 29323537; 42123690; 42035126; 42013843; 41754790,Anti-CD37 DM1 ADC; Phase 2 in r/r DLBCL with rituximab; partnership shifts in 2024.
FOR46,FOR-46; FG-3246,CD46,ADC,,Fortis Therapeutics / Kyntra Bio,clinical_active,phase_2,no,,,,Metastatic castration-resistant prostate cancer; multiple myeloma,4,"NCT06842498|Phase 2|RECRUITING|Kyntra Bio; NCT05011188|Phase 1/Phase 2|ACTIVE_NOT_RECRUITING|Rahul Aggarwal; NCT03650491|Phase 1|COMPLETED|Fortis Therapeutics, Inc.; NCT03575819|Phase 1|COMPLETED|Fortis Therapeutics, Inc.",40138611; 42054074; 42036815; 41989164; 41972730,Anti-CD46 MMAE ADC targeting an mCRPC-restricted CD46 conformation; Phase 1 (NCT05011188) and Phase 2 (NCT06842498) ongoing in mCRPC.
CTX130,allogeneic anti-CD70 CAR-T,CD70,CAR_T,,CRISPR Therapeutics,clinical_completed_unapproved,phase_1,no,,,,ccRCC; T-cell lymphoma (allogeneic),2,NCT04438083|Phase 1|TERMINATED|CRISPR Therapeutics AG; NCT04502446|Phase 1|TERMINATED|CRISPR Therapeutics AG,41920459; 41833894; 41179303; 39617017; 38583184,
cusatuzumab,ARGX-110,CD70,mAb,,argenx / J&J,clinical_active,phase_2,no,,,,"AML (clinical, discontinued)",5,"NCT06384261|Phase 2|ACTIVE_NOT_RECRUITING|OncoVerity, Inc.; NCT04150887|Phase 1|ACTIVE_NOT_RECRUITING|OncoVerity, Inc.; NCT03030612|Phase 1/Phase 2|COMPLETED|OncoVerity, Inc.; NCT02759250|Phase 1|COMPLETED|argenx; NCT01813539|Phase 1/Phase 2|COMPLETED|OncoVerity, Inc.",41872502; 37998391; 37914483; 37849799; 37648786; 36870810; 36779592; 36394119,
CD318-CAR-T,CDCP1-CAR-T,CDCP1,CAR_T,,University Hospital Tuebingen,clinical_active,phase_1,no,,,,Pancreatic adenocarcinoma,1,NCT07153289|Phase 1/Phase 2|NOT_YET_RECRUITING|University Hospital Tuebingen,41576164; 41553332; 41535681; 41423267,First-in-human CDCP1/CD318-targeted CAR-T trial NCT07153289 (ResCPa); academic-sponsored.
CDH17 CAR-T,anti-CDH17 CAR-T,CDH17,CAR_T,,academic / Chugh / Mount Sinai,clinical_active,phase_1,no,,,,CDH17+ GI cancers (preclinical/early clinical),3,NCT06820424|EARLY_Phase 1|RECRUITING|920th Hospital of Joint Logistics Support Force of People's Liberation Army of China; NCT06501183|Phase 1|RECRUITING|Shanghai Pudong Hospital; NCT06937567|EARLY_Phase 1|RECRUITING|Zhejiang University,40435215; 37823901,"GI-lineage-restricted (CRC, gastric, pancreatic, GI NETs)."
PF-03732010,,CDH3,mAb,,Pfizer,preclinical_published,phase_1,no,,,,Solid tumors,0,,41962512; 41570246; 41332717; 41062838,Anti-P-cadherin mAb; Phase 1 NCT00557505 completed; no further development.
PF-06671008,DART-CDH3xCD3,CDH3,TCE,,Pfizer / MacroGenics,preclinical_published,phase_1,no,,,,P-cadherin-positive solid tumors,0,,35493516; 31119428; 29067496; 41962512; 41570246; 41332717; 41062838,P-cadherin x CD3 DART; Phase 1 NCT02659631 terminated 2018; first clinical CDH3 binder.
PCA062,PF-06804103,CDH3,ADC,,Novartis / Pfizer (preclinical),preclinical_published,preclinical,no,,,,TNBC; esophageal squamous,0,,36325689; 35131875; 33879555; 41962512; 41570246; 41332717; 41062838,Preclinical anti-P-cadherin DM4 ADC reported; no clinical program.
CUSP06,,CDH6,ADC,,OnCusp Therapeutics,clinical_active,phase_1,no,,,,Platinum-refractory ovarian cancer,1,"NCT06234423|Phase 1|RECRUITING|OnCusp Therapeutics, Inc.",42036170; 41392997; 41277071; 41172996,Anti-CDH6 exatecan ADC Phase 1 NCT06234423.
HKT288,,CDH6,ADC,,Novartis,clinical_completed_unapproved,phase_1,no,,,,Ovarian cancer; renal cell carcinoma,1,NCT02947152|Phase 1|TERMINATED|Novartis Pharmaceuticals,34515215; 29404392; 28526733; 42036170; 41392997; 41277071; 41172996,First-in-class anti-CDH6 DM4 ADC; Phase 1 NCT02947152 terminated for off-target neurotoxicity; pivotal preclinical proof-of-concept.
HS-20124,,CDH6,ADC,,Hansoh,preclinical_published,phase_1,no,,,,Advanced solid tumors,0,,42036170; 41392997; 41277071; 41172996,Anti-CDH6 ADC Phase 1 NCT06763159 in China.
raludotatug deruxtecan,R-DXd; DS-6000,CDH6,ADC,,Daiichi Sankyo / Merck,clinical_active,phase_3,no,,,,Ovarian cancer (platinum-resistant); renal cell carcinoma,2,NCT06660654|Phase 2|RECRUITING|Daiichi Sankyo; NCT06161025|Phase 2/Phase 3|RECRUITING|Daiichi Sankyo,38205802; 42036170; 41392997; 41277071; 41172996,Anti-CDH6 DXd ADC; Phase 2/3 REJOICE-Ovarian01 NCT06161025 ongoing; also Phase 2 basket NCT06660654.
cibisatamab,CEA-TCB; RG7802; RO6958688,CEACAM5,TCE,,Roche,clinical_completed_unapproved,phase_1,no,,,,CEA+ solid tumors (CEA-TCB; clinical),1,NCT02650713|Phase 1|COMPLETED|Hoffmann-La Roche,42010119; 41283511; 40108739; 39858076; 38881900; 38750034; 37964753; 37408756,
tusamitamab ravtansine,SAR408701,CEACAM5,ADC,,Sanofi,clinical_active,phase_3,no,,,,CEACAM5+ non-squamous NSCLC (CARMEN-LC03; not approved),2,NCT04154956|Phase 3|ACTIVE_NOT_RECRUITING|Sanofi; NCT02187848|Phase 1|TERMINATED|Sanofi,41607358; 41584721; 41337813; 41031047; 40413667; 40263022; 39477960; 37964462,
labetuzumab govitecan,IMMU-130,CEACAM5,ADC,,Immunomedics / Gilead,preclinical_published,preclinical,no,,,,CEACAM5+ mCRC (IMMU-130; clinical),0,,41322509; 33199493; 30822636; 29079710; 28844817; 28817371,
zolbetuximab-clzb,zolbetuximab; IMAB362; claudiximab,CLDN18,mAb,,Astellas,fda_approved,approved,yes,2024,,Vyloy,CLDN18.2+ HER2- gastric/GEJ adenocarcinoma (1L combo chemo),5,"NCT07431281|Phase 3|RECRUITING|AstraZeneca; NCT06902545|Not applicable / unspecified|RECRUITING|Astellas Pharma Korea, Inc.; NCT07427992|Not applicable / unspecified|RECRUITING|European Institute of Oncology; NCT06962137|Phase 2|RECRUITING|Universitaire Ziekenhuizen KU Leuven; NCT06901531|Phase 3|RECRUITING|Astellas Pharma Global Development, Inc.",40426305; 39836818; 39759684,
CB-012,,CLEC12A,CAR_T,,Caribou Biosciences,preclinical_published,phase_1,no,,,,Relapsed/refractory AML,0,,41799695; 41214106; 40336986; 40268927,CRISPR-edited allogeneic anti-CLL-1 CAR-T; Phase 1 NCT06128044 terminated; AMELI-01 strategy shift to other programs.
CD371 CAR-T (MSK),CD371-YSNVZIL-18 CAR T,CLEC12A,CAR_T,,Memorial Sloan Kettering,clinical_active,phase_1,no,,,,Acute myeloid leukemia,1,NCT06017258|Phase 1|RECRUITING|Memorial Sloan Kettering Cancer Center,41799695; 41214106; 40336986; 40268927,Academic CLEC12A/CD371 CAR-T armored with IL-18; Phase 1 NCT06017258 recruiting.
tepoditamab,MCLA-117,CLEC12A,TCE,,Merus,clinical_completed_unapproved,phase_1,no,,,,Acute myeloid leukemia,1,NCT03038230|Phase 1|TERMINATED|Merus B.V.,31286786; 41799695; 41214106; 40336986; 40268927,CLEC12AxCD3 Biclonics bispecific; Phase 1 NCT03038230 completed; program deprioritized in 2024.
KK-LC-1 TCR-T,KKLC1-TCR-T,CT83,TCR_T,,NCI / Christian Hinrichs,preclinical_published,phase_1,no,,,,"Gastric, breast, cervical, lung cancer (KK-LC-1+)",0,,35798537; 34678693; 31455429; 31069014,Academic KK-LC-1 HLA-A*01:01-restricted TCR-T; Phase 1 NCT05483491 recruiting (Hinrichs lab); earlier NCT05035407 terminated.
letetresgene autoleucel,lete-cel; GSK3377794; NY-ESO-1c259 T cells,CTAG1B,TCR_T,,GSK / Adaptimmune,clinical_active,phase_2,no,,,,"NY-ESO-1+ synovial sarcoma, myxoid liposarcoma, NSCLC, multiple myeloma",5,"NCT06703346|Phase 2|ACTIVE_NOT_RECRUITING|USWM CT, LLC; NCT03967223|Phase 2|ACTIVE_NOT_RECRUITING|USWM CT, LLC; NCT05993299|Phase 2|ACTIVE_NOT_RECRUITING|USWM, LLC (dba US WorldMeds); NCT02588612|Phase 1|COMPLETED|GlaxoSmithKline; NCT02992743|Phase 2|COMPLETED|GlaxoSmithKline",41367561; 41132970,
ADCT-701,,DLK1,ADC,,ADC Therapeutics,clinical_active,phase_1,no,,,,Neuroendocrine carcinoma; adrenal cortical carcinoma,0,,40595495; 39454577; 39416174; 42023826; 41945753; 41832569,Anti-DLK1 PBD-dimer ADC; first-in-human Phase 1 NCT06041516 in NETs / ACC.
CBA-1205,,DLK1,mAb,,Chiome Bioscience,clinical_active,phase_1,no,,,,Hepatocellular carcinoma; neuroendocrine tumors,1,NCT06636435|Phase 1|RECRUITING|Chiome Bioscience Inc.,42023826; 41945753; 41832569,Anti-DLK1 ADCC-enhanced mAb; first-in-human Phase 1 NCT06636435.
tarlatamab-dlle,tarlatamab; AMG-757; DLL3 x CD3 BiTE,DLL3,TCE,,Amgen,fda_approved,approved,yes,2024,,Imdelltra,Extensive-stage small cell lung cancer (after platinum),1,NCT03319940|Phase 1|ACTIVE_NOT_RECRUITING|Amgen,41587109; 41576550; 40419854; 40122873; 39392556; 39190734; 39023700,
BI 764532,obrixtamig,DLL3,TCE,,Boehringer Ingelheim,preclinical_published,preclinical,no,,,,SCLC and NETs (DAREON program),0,,35815644,
rovalpituzumab tesirine,Rova-T; SC16LD6.5,DLL3,ADC,,AbbVie / Stemcentrx,preclinical_published,preclinical,no,,,,SCLC (discontinued after MERU),0,,42068413; 41331586; 40160238; 39703856; 38940283; 38730427; 38001628; 37355629,
amivantamab-vmjw,amivantamab; JNJ-61186372; EGFR x MET bispecific,EGFR,TCE,,Janssen,fda_approved,approved,yes,2021,,Rybrevant,EGFR exon20ins NSCLC; EGFR-mutant NSCLC (combo with lazertinib),1,NCT06116682|Phase 2|RECRUITING|SWOG Cancer Research Network,41388342; 40782807; 40526090; 40213223; 38288815; 38012986; 37577308; 37022784,
cetuximab,C225,EGFR,mAb,,Eli Lilly / Merck KGaA,fda_approved,approved,yes,2004,,Erbitux,Metastatic CRC (RAS wild-type); SCCHN,5,"NCT04117945|Phase 2|ACTIVE_NOT_RECRUITING|Academic and Community Cancer Research United; NCT04224415|Phase 2|COMPLETED|Yuhong Li; NCT01256385|Phase 2|COMPLETED|National Cancer Institute (NCI); NCT00424827|Phase 2|COMPLETED|University of Massachusetts, Worcester; NCT00063141|Phase 3|COMPLETED|Eli Lilly and Company",42107346; 42106623; 42103029; 42095034; 42093086; 42090518; 42085638; 42078309,
necitumumab,IMC-11F8,EGFR,mAb,,Eli Lilly,fda_approved,approved,yes,2015,,Portrazza,Metastatic squamous NSCLC (combo gem/cis),0,,41681946; 41003544; 40466026; 40093977; 40010994; 39957806; 39866193; 39540676,
panitumumab,ABX-EGF,EGFR,mAb,,Amgen,fda_approved,approved,yes,2006,,Vectibix,Metastatic CRC (RAS wild-type),4,NCT04117945|Phase 2|ACTIVE_NOT_RECRUITING|Academic and Community Cancer Research United; NCT04034173|Phase 2|NOT_YET_RECRUITING|Ludwig-Maximilians - University of Munich; NCT01262183|Phase 2|TERMINATED|Radboud University Medical Center; NCT03751176|Phase 2|UNKNOWN|Grupo Espanol Multidisciplinario del Cancer Digestivo,42113643; 42098037; 42098028; 42069451; 42047936; 42027771; 42020148; 41984480,
rindopepimut,CDX-110; EGFRvIII peptide vaccine,EGFR,peptide,EGFR (variant III)-specific,Celldex Therapeutics,clinical_completed_unapproved,phase_3,no,,,,EGFRvIII+ glioblastoma (ACT IV phase 3 failed),5,NCT01480479|Phase 3|COMPLETED|Celldex Therapeutics; NCT01498328|Phase 2|COMPLETED|Celldex Therapeutics; NCT00458601|Phase 2|COMPLETED|Celldex Therapeutics; NCT00626015|Phase 1|COMPLETED|John Sampson; NCT01058850|Phase 1|TERMINATED|Paul Graham Fisher,41519428; 40917884; 39618405; 37766136; 36587382; 34973444; 34321837,Glioma-restricted neoepitope; binder relevance limited to EGFRvIII+ GBM.
EGFRvIII CAR-T,anti-EGFRvIII CAR-T,EGFR,CAR_T,EGFR (variant III)-specific,Penn / NCI / academic,clinical_active,preclinical,no,,,,EGFRvIII+ glioblastoma (clinical),2,"NCT07244666|EARLY_Phase 1|NOT_YET_RECRUITING|Second Affiliated Hospital, School of Medicine, Zhejiang University; NCT05802693|EARLY_Phase 1|UNKNOWN|Beijing Tsinghua Chang Gung Hospital",42094336; 42064056; 41677939; 40766453; 39521782; 39240078; 39000281; 38216766,Glioma-restricted neoepitope; binder relevance limited to EGFRvIII+ GBM.
depatuxizumab mafodotin,ABT-414; depatux-M,EGFR,ADC,,AbbVie,preclinical_published,preclinical,no,,,,EGFR-amplified GBM (terminated),0,,41746815; 41632538; 41519428; 41180763; 41121224; 38743766; 38375733; 37257422,
JNJ-87890387,,ENPP3,other,Modality not yet publicly disclosed (presumed bispecific or radioconjugate per ENPP3 tumor program),Janssen,preclinical_published,phase_1,no,,,,Advanced solid tumors (ccRCC focus),0,,41715305; 41344557; 40349459; 39357030,ENPP3-directed Phase 1 NCT06178614 recruiting; renewed ENPP3 interest in 2024.
AGS-16C3F,AGS-16M8F,ENPP3,ADC,,Astellas / Agensys,clinical_completed_unapproved,phase_2,no,,,,Renal cell carcinoma,0,,33289953; 30804017; 29848572; 41715305; 41344557; 40349459; 39357030,First-in-class anti-ENPP3 MMAF ADC; Phase 2 NCT02639182 vs axitinib in RCC reported 2021; did not meet PFS endpoint.
catumaxomab,EpCAM x CD3 x Fc trifunctional,EPCAM,TCE,,Lindis Biotech (originally Fresenius),ex_us_approved_only,approved,no,,,,"Malignant ascites (EpCAM+ carcinoma, EMA approval)",5,NCT06789224|NA|COMPLETED|Lindis Bloodcare GmbH; NCT01504256|Phase 2|COMPLETED|AIO-Studien-gGmbH; NCT00822809|Phase 3|COMPLETED|Neovii Biotech; NCT00563836|Phase 2|COMPLETED|Neovii Biotech; NCT00464893|Phase 2|COMPLETED|Neovii Biotech,41476945; 40812168; 40644745; 40304879; 38644553; 38465614; 38045870,
solitomab,AMG 110; MT110; EpCAM x CD3 BiTE,EPCAM,TCE,,Amgen / Micromet,clinical_completed_unapproved,phase_1,no,,,,"EpCAM+ solid tumors (clinical, discontinued)",1,NCT00635596|Phase 1|COMPLETED|Amgen Research (Munich) GmbH,39759138; 37190054; 37180637; 34012588; 30221040; 26474755; 26272866; 25251053,
EphA2-siRNA (DOPC),DOPC-encapsulated EphA2 siRNA,EPHA2,other,Nanoliposomal siRNA — included as adjacent EphA2-directed clinical program,MD Anderson,clinical_active,phase_1,no,,,,Recurrent solid tumors,1,NCT01591356|Phase 1|ACTIVE_NOT_RECRUITING|M.D. Anderson Cancer Center,42082632; 42025018; 42011544; 41993637,NCT01591356 Phase 1 EphA2-siRNA in advanced solid tumors.
MEDI-547,1C1-mcMMAF,EPHA2,ADC,,MedImmune / AstraZeneca,clinical_completed_unapproved,phase_1,no,,,,Refractory solid tumors,1,NCT00796055|Phase 1|TERMINATED|MedImmune LLC,41782030; 32398269; 22370972; 42082632; 42025018; 42011544; 41993637,First-in-human anti-EphA2 auristatin ADC; Phase 1 terminated 2010 due to bleeding/coagulation AEs.
BT5528,Bicycle EphA2 toxin conjugate,EPHA2,peptide,Bicyclic peptide-toxin conjugate (Bicycle Toxin Conjugate),BicycleTx,clinical_active,phase_2,no,,,,Urothelial; ovarian; lung carcinoma (EphA2+),2,NCT07450859|Phase 2|RECRUITING|BicycleTx Limited; NCT04180371|Phase 1/Phase 2|ACTIVE_NOT_RECRUITING|BicycleTx Limited,41782030; 40725089; 39231383; 42082632; 42025018; 42011544; 41993637,Phase 1/2 NCT04180371 in EphA2-expressing tumors; combo with nivolumab arm.
soluble EphB4-HSA,sEphB4-HSA,EPHB4,fusion_protein,,Vasgene Therapeutics / NCI,clinical_completed_unapproved,phase_2,no,,,,Kaposi sarcoma; Head and neck; Mesothelioma,5,"NCT06493552|Phase 2/Phase 3|RECRUITING|Vasgene Therapeutics, Inc; NCT02717156|Phase 2|ACTIVE_NOT_RECRUITING|University of Southern California; NCT02495896|Phase 1|ACTIVE_NOT_RECRUITING|University of Southern California; NCT04091867|Phase 1|COMPLETED|University of Colorado, Denver; NCT02799485|Phase 2|COMPLETED|AIDS Malignancy Consortium",38985143; 36210299; 36172096; 42071810; 42011544; 41930744; 41772692,Recombinant EphB4 ECD-HSA fusion that sequesters ephrinB2 and disrupts EphB4 signaling; multiple Phase 1/2 trials completed; no follow-up sponsor activity since 2023.
ado-trastuzumab emtansine,T-DM1; trastuzumab emtansine,ERBB2,ADC,,Genentech / Roche,fda_approved,approved,yes,2013,,Kadcyla,HER2+ metastatic breast cancer; HER2+ early breast cancer (adjuvant),5,"NCT01042379|Phase 2|RECRUITING|QuantumLeap Healthcare Collaborative; NCT02924883|Phase 2|COMPLETED|Hoffmann-La Roche; NCT01419197|Phase 3|COMPLETED|Hoffmann-La Roche; NCT04419181|Phase 2|WITHDRAWN|University of Rochester; NCT02725541|Phase 2|WITHDRAWN|Jenny C. Chang, MD",42098228; 42065681; 41777936; 41630133; 41303803; 41223995; 41214696; 41134751,
disitamab vedotin,RC48,ERBB2,ADC,,RemeGen (China),ex_us_approved_only,approved,no,,,,HER2+ urothelial carcinoma (China); HER2+ gastric (China),5,"NCT06734182|Phase 2|RECRUITING|Guangdong Provincial People's Hospital; NCT06278870|Phase 3|RECRUITING|Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University; NCT05917158|Phase 2|RECRUITING|Jinling Hospital, China; NCT06168227|Not applicable / unspecified|COMPLETED|The First Affiliated Hospital with Nanjing Medical University; NCT04073602|Phase 2|COMPLETED|RemeGen Co., Ltd.",42110417; 42087741; 41999539; 41993992; 41988515; 41978414; 41971139; 41971125,
fam-trastuzumab deruxtecan-nxki,T-DXd; trastuzumab deruxtecan; DS-8201,ERBB2,ADC,,Daiichi Sankyo / AstraZeneca,fda_approved,approved,yes,2019,,Enhertu,HER2+ and HER2-low/ultralow breast cancer; HER2+ gastric; HER2-mutant NSCLC; HER2-expressing solid tumors,4,NCT07012031|Phase 1/Phase 2|RECRUITING|National Cancer Institute (NCI); NCT07137416|Phase 1|RECRUITING|National Cancer Institute (NCI); NCT06210776|Not applicable / unspecified|RECRUITING|Daiichi Sankyo; NCT06102824|Phase 2|RECRUITING|Guangdong Provincial People's Hospital,42088610; 41971926; 40502326; 40081882; 39061168; 38970465; 38293566; 37665782,
margetuximab,margetuximab-cmkb; MGAH22,ERBB2,mAb,,MacroGenics,fda_approved,approved,yes,2020,,Margenza,HER2+ metastatic breast cancer,1,NCT04425018|Phase 2|ACTIVE_NOT_RECRUITING|Dana-Farber Cancer Institute,42080343; 39220641; 39110828; 38994153; 38332459; 38288815; 33355736,
pertuzumab,perjeta,ERBB2,mAb,,Genentech / Roche,fda_approved,approved,yes,2012,,Perjeta,HER2+ breast cancer (combo),5,"NCT07043725|Phase 3|RECRUITING|Chia Tai Tianqing Pharmaceutical Group Nanjing Shunxin Pharmaceutical Co., Ltd.; NCT06278870|Phase 3|RECRUITING|Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University; NCT05722886|Phase 2/Phase 3|RECRUITING|Cancer Research UK; NCT01042379|Phase 2|RECRUITING|QuantumLeap Healthcare Collaborative; NCT04425018|Phase 2|ACTIVE_NOT_RECRUITING|Dana-Farber Cancer Institute",42116617; 42116119; 42108850; 42098463; 42097893; 42095205; 42094179; 42089011,
